Time,Candidate,Tweets
10/22: 15,Biden,46
10/22: 15,Obama,1
10/22: 15,Trump,121
10/22: 16,Biden,112
10/22: 16,Obama,4
10/22: 16,Trump,377
10/22: 17,Biden,157
10/22: 17,Obama,4
10/22: 17,Trump,369
10/22: 18,Biden,143
10/22: 18,Hillary,1
10/22: 18,Obama,6
10/22: 18,Trump,303
10/22: 19,Biden,164
10/22: 19,Hillary,1
10/22: 19,Obama,5
10/22: 19,Trump,365
10/22: 20,Biden,143
10/22: 20,Obama,8
10/22: 20,Trump,346
10/22: 21,Biden,166
10/22: 21,Obama,1
10/22: 21,Trump,339
10/22: 22,Biden,220
10/22: 22,Hillary,1
10/22: 22,Obama,6
10/22: 22,Trump,356
10/22: 23,Biden,190
10/22: 23,Obama,2
10/22: 23,Trump,285
